Domain,Product URL
https://www.virgio.com/,https://www.virgio.com/products/emirati-essence-rolled-up-sleeve-boat-neck-top
https://www.virgio.com/,https://www.virgio.com/products/academic-edge-hit2-grey-overlap-knit-tee
https://www.virgio.com/,https://www.virgio.com/collections/shop-the-look-with-kalki
https://www.virgio.com/,https://www.virgio.com/collections/vacation-vault?direction=next&cursor=eyJsYXN0X2lkIjo5NjE5MDM3NjE4NDczLCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/
https://www.virgio.com/,https://www.virgio.com/collections/natural-shirts-for-women?direction=next&cursor=eyJsYXN0X2lkIjo5NTY4MTE0MTE0ODU3LCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/products/summer-stripes-striped-tiered-midi-skirt
https://www.virgio.com/,https://www.virgio.com/products/summer-stripes-buttoned-pointed-hem-vest
https://www.virgio.com/,https://www.virgio.com/products/veronicas-playful-cotton-checked-skirt
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights?direction=next&cursor=eyJsYXN0X2lkIjo4ODk0NTUyODk5ODgxLCJsYXN0X3ZhbHVlIjoiOTA1LjAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/dresses-date?direction=previous&cursor=eyJsYXN0X2lkIjo5MzY0ODA5ODc1NzUzLCJsYXN0X3ZhbHVlIjoyNX0%3D
https://www.virgio.com/,https://www.virgio.com/collections/all?direction=next&cursor=eyJsYXN0X2lkIjo5NjU2NDEzNzE2Nzc3LCJsYXN0X3ZhbHVlIjo3Mn0%3D
https://www.virgio.com/,https://www.virgio.com/pages/user-policy
https://www.virgio.com/,https://www.virgio.com/collections/trousers?direction=next&cursor=eyJsYXN0X2lkIjo5NTQ5NjU1OTY1OTkzLCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/collections/shop-the-look-with-kalki?direction=next&cursor=eyJsYXN0X2lkIjo4ODAxODgyNDcyNzQ1LCJsYXN0X3ZhbHVlIjoxMjIyfQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/top-wear-date?direction=next&cursor=eyJsYXN0X2lkIjo5MzY2NzA5ODI5OTI5LCJsYXN0X3ZhbHVlIjoxMDR9
https://www.virgio.com/,https://www.virgio.com/products/veronicas-retro-cotton-pleated-skirt
https://www.virgio.com/,https://www.virgio.com/collections/top-wear-date?direction=next&cursor=eyJsYXN0X2lkIjo5NTY1MDgzNDM1MzA1LCJsYXN0X3ZhbHVlIjo4MH0%3D
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser?direction=previous&cursor=eyJsYXN0X2lkIjo5Mzk3NDUyNTA1Mzg1LCJsYXN0X3ZhbHVlIjo5N30%3D
https://www.virgio.com/,https://www.virgio.com/collections/skirts
https://www.virgio.com/,https://www.virgio.com/products/summer-stripes-ruched-striped-midi-dress
https://www.virgio.com/,https://www.virgio.com/collections/top-wear-date
https://www.virgio.com/,https://www.virgio.com/products/temple-flower-striped-wide-leg-linen-pants
https://www.virgio.com/,https://www.virgio.com/collections/date-collection
https://www.virgio.com/,https://www.virgio.com/collections/shop-the-look-with-kalki?direction=previous&cursor=eyJsYXN0X2lkIjo4ODAxODgyNTA1NTEzLCJsYXN0X3ZhbHVlIjoxMjIzfQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/products/summer-stripes-asymmetric-wrap-wide-legs
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser
https://www.virgio.com/,https://www.virgio.com/products/summer-stripes-button-front-flared-dress
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights?direction=next&cursor=eyJsYXN0X2lkIjo4NzYwMzk2ODc0MDI1LCJsYXN0X3ZhbHVlIjoiMTI1NS4wIn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/dresses-date?direction=next&cursor=eyJsYXN0X2lkIjo5NTYzNzY5MDQ1Mjg5LCJsYXN0X3ZhbHVlIjo5Nn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/virgio-x-iifa?direction=previous&cursor=eyJsYXN0X2lkIjo5NTY1OTAzNzE2NjQ5LCJsYXN0X3ZhbHVlIjoyNX0%3D
https://www.virgio.com/,https://www.virgio.com/collections/dresses-date?direction=next&cursor=eyJsYXN0X2lkIjo4OTMyMzEzOTg5NDE3LCJsYXN0X3ZhbHVlIjoxNzB9
https://www.virgio.com/,https://www.virgio.com/collections/all?direction=previous&cursor=eyJsYXN0X2lkIjo5NjU2NDEzODE1MDgxLCJsYXN0X3ZhbHVlIjo3M30%3D
https://www.virgio.com/,https://www.virgio.com/products/academic-edge-hit2-embroidered-distressed-wash-tee
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser?direction=previous&cursor=eyJsYXN0X2lkIjo5NDk2ODAzOTM0NTA1LCJsYXN0X3ZhbHVlIjo3M30%3D
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser?direction=next&cursor=eyJsYXN0X2lkIjo5NDk2ODA0MDk4MzQ1LCJsYXN0X3ZhbHVlIjo3Mn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/co-ords-date?direction=next&cursor=eyJsYXN0X2lkIjo5MzI3MzM1MDgwMjMzLCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/products/temple-flower-hand-painted-striped-shorts
https://www.virgio.com/,https://www.virgio.com/collections/virgio-x-iifa
https://www.virgio.com/,https://www.virgio.com/collections/virgio-x-iifa?direction=previous&cursor=eyJsYXN0X2lkIjo5NTc3Njc3OTQ3MTc3LCJsYXN0X3ZhbHVlIjo0OX0%3D
https://www.virgio.com/,https://www.virgio.com/collections/shorts
https://www.virgio.com/,https://www.virgio.com/products/summer-stripes-fitted-waist-shirt-dress
https://www.virgio.com/,https://www.virgio.com/collections/cotton?direction=next&cursor=eyJsYXN0X2lkIjo5NTc4NTg0MjQ0NTIxLCJsYXN0X3ZhbHVlIjoiMjAyNS0wMS0wMyAxMzozMjoyMS4wMDAwMDAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/recycled-polyester
https://www.virgio.com/,https://www.virgio.com/collections/top-wear-date?direction=previous&cursor=eyJsYXN0X2lkIjo5NTY1OTAzNTg1NTc3LCJsYXN0X3ZhbHVlIjo4MX0%3D
https://www.virgio.com/,https://www.virgio.com/collections/skirts?direction=next&cursor=eyJsYXN0X2lkIjo5MzI3MzM1MDE0Njk3LCJsYXN0X3ZhbHVlIjo3Mn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/cotton?direction=previous&cursor=eyJsYXN0X2lkIjo5NjA0NTM0NjY1NTEzLCJsYXN0X3ZhbHVlIjoiMjAyNS0wMS0yOCAxMToyMTozOC4wMDAwMDAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/products/lease-line-hit2-olive-front-open-twill-dress
https://www.virgio.com/,https://www.virgio.com/collections/virgio-x-iifa?direction=next&cursor=eyJsYXN0X2lkIjo5NTY1OTAzNDU0NTA1LCJsYXN0X3ZhbHVlIjo0OH0%3D
https://www.virgio.com/,https://www.virgio.com/collections/vacation-vault
https://www.virgio.com/,https://www.virgio.com/products/emirati-essence-cut-out-waist-a-line-dress
https://www.virgio.com/,https://www.virgio.com/collections/all?direction=next&cursor=eyJsYXN0X2lkIjo5NjMwMTc0ODA2MzEzLCJsYXN0X3ZhbHVlIjoxNDl9
https://www.virgio.com/,https://www.virgio.com/products/retro-back-cutout-mini-dress
https://www.virgio.com/,https://www.virgio.com/products/emirati-essence-front-slit-maxi-skirt
https://www.virgio.com/,https://www.virgio.com/collections/all
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights?direction=next&cursor=eyJsYXN0X2lkIjo5MjYwMDIyODU4MDI1LCJsYXN0X3ZhbHVlIjoiMTE1MC4wIn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/daylight-socials
https://www.virgio.com/,https://www.virgio.com/collections/trousers?direction=previous&cursor=eyJsYXN0X2lkIjo5NTU3NDg0MDQ0NTg1LCJsYXN0X3ZhbHVlIjoyNX0%3D
https://www.virgio.com/,https://www.virgio.com/products/date-chic-red-solid-co-ords
https://www.virgio.com/,https://www.virgio.com/collections/cotton?direction=next&cursor=eyJsYXN0X2lkIjo5NjA0NTM0Njk4MjgxLCJsYXN0X3ZhbHVlIjoiMjAyNS0wMS0yOCAxMToyMTozOC4wMDAwMDAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/dresses-date?direction=previous&cursor=eyJsYXN0X2lkIjo5NTYzNzY5MDc4MDU3LCJsYXN0X3ZhbHVlIjo5N30%3D
https://www.virgio.com/,https://www.virgio.com/collections/cotton
https://www.virgio.com/,https://www.virgio.com/collections/new-launch
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser?direction=previous&cursor=eyJsYXN0X2lkIjo5NTQ5NjU1MjEyMzI5LCJsYXN0X3ZhbHVlIjo0OX0%3D
https://www.virgio.com/,https://www.virgio.com/products/academic-edge-hit2-distressed-wash-embroidered-tee
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights?direction=previous&cursor=eyJsYXN0X2lkIjo5MzI2OTA5OTE1NDMzLCJsYXN0X3ZhbHVlIjoiMTE1MC4wIn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/co-ords-date
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights?direction=next&cursor=eyJsYXN0X2lkIjo5MzU5OTY4NTM0ODI1LCJsYXN0X3ZhbHVlIjoiMTExNS4wIn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/virgio-x-iifa?direction=next&cursor=eyJsYXN0X2lkIjo5NTQxOTYxNDQ5NzY5LCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser?direction=next&cursor=eyJsYXN0X2lkIjo5Mzk3NDUxNjUzNDE3LCJsYXN0X3ZhbHVlIjo5Nn0%3D
https://www.virgio.com/,https://www.virgio.com/collections/daylight-socials?direction=next&cursor=eyJsYXN0X2lkIjo5NTc4NTg0MjExNzUzLCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/collections/natural-shirts-for-women
https://www.virgio.com/,https://www.virgio.com/collections/dresses-date?direction=next&cursor=eyJsYXN0X2lkIjo5NTQxOTYxNDgyNTM3LCJsYXN0X3ZhbHVlIjoyNH0%3D
https://www.virgio.com/,https://www.virgio.com/products/reworked-shirt-pleated-detail-striped-shirt
https://www.virgio.com/,https://www.virgio.com/collections/jumpsuits
https://www.virgio.com/,https://www.virgio.com/products/veronicas-chic-cotton-co-ords
https://www.virgio.com/,https://www.virgio.com/collections/veronicas-trouser?direction=next&cursor=eyJsYXN0X2lkIjo5NDk2ODA0MDY1NTc3LCJsYXN0X3ZhbHVlIjoxMjB9
https://www.virgio.com/,https://www.virgio.com/products/temple-flower-linen-striped-pleated-skirt
https://www.virgio.com/,https://www.virgio.com/collections/trousers
https://www.virgio.com/,https://www.virgio.com/collections/dresses-date
https://www.virgio.com/,https://www.virgio.com/products/date-breezy-black-relaxed-trousers
https://www.virgio.com/,https://www.virgio.com/collections/cotton?direction=previous&cursor=eyJsYXN0X2lkIjo5NjE5MDM4MDExNjg5LCJsYXN0X3ZhbHVlIjoiMjAyNS0wMi0xMCAwODoyMjowMC4wMDAwMDAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/cotton?direction=next&cursor=eyJsYXN0X2lkIjo5NjMwMTc0ODA2MzEzLCJsYXN0X3ZhbHVlIjoiMjAyNS0wMi0yMCAwODo1OTozOS4wMDAwMDAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/discount-delights?direction=previous&cursor=eyJsYXN0X2lkIjo4ODk0NTUzNDg5NzA1LCJsYXN0X3ZhbHVlIjoiOTA1LjAifQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/collections/shop-the-look-with-kalki?direction=next&cursor=eyJsYXN0X2lkIjo5MTk2MzgyOTc4MzQ1LCJsYXN0X3ZhbHVlIjoxNDM1fQ%3D%3D
https://www.virgio.com/,https://www.virgio.com/products/date-comfy-beige-relaxed-trousers
https://www.tatacliq.com/,https://www.tatacliq.com/watches/c-msh15
https://www.tatacliq.com/,https://www.tatacliq.com/replacement-policy-tnc
https://www.tatacliq.com/,https://www.tatacliq.com/timex-twtxw901t-smart-coregen-unisex-smartwatch/p-mp000000024744458
https://www.tatacliq.com/,https://www.tatacliq.com/reebok/c-mbh13a00099
https://www.tatacliq.com/,https://www.tatacliq.com/footwear/c-msh13
https://www.tatacliq.com/,https://www.tatacliq.com/lov/c-mbh11a00177/page-1
https://www.tatacliq.com/,https://www.tatacliq.com/allen-solly/c-mbh11a00023
https://www.tatacliq.com/,https://www.tatacliq.com/accessories-mens-bags-wallets/c-msh1604000
https://www.tatacliq.com/,https://www.tatacliq.com/watches-women/c-msh1501
https://www.tatacliq.com/,https://www.tatacliq.com/payments-faq
https://www.tatacliq.com/,https://www.tatacliq.com/timex-tweg18430-analog-watch-for-men/p-mp000000024254682
https://www.tatacliq.com/,https://www.tatacliq.com/puma/c-mbh13a00168
https://www.tatacliq.com/,https://www.tatacliq.com/watches-men-digital/c-msh1500001
https://www.tatacliq.com/,https://www.tatacliq.com/titan-95289sm01-purple-vogue-analog-watch-for-women/p-mp000000024754080
https://www.tatacliq.com/,https://www.tatacliq.com/sonata/c-mbh15w00181/page-1
https://www.tatacliq.com/,https://www.tatacliq.com/fossil-fs4656-machine-analog-watch-for-men/p-mp000000015312495
https://www.tatacliq.com/,https://www.tatacliq.com/malabar-gold-and-diamonds/c-mbh19b10147/page-1
https://www.tatacliq.com/,https://www.tatacliq.com/accessories-women-bags/c-msh1600
https://www.tatacliq.com/,https://www.tatacliq.com/fossil-bq2494-bannon-analog-watch-for-men/p-mp000000014383672
https://www.tatacliq.com/,https://www.tatacliq.com/watches-men-analog/c-msh1500000
https://www.tatacliq.com/,https://www.tatacliq.com/watches-men/c-msh1500
https://www.tatacliq.com/,https://www.tatacliq.com/utsa/c-mbh11a00191
https://www.tatacliq.com/,https://www.tatacliq.com/search?text=Decathlon:relevance:list:listId_06d7522790324e668703c22ee4e43edb&icid2=hero:hbr:main:hmp:m01:mulb:best:09:R2:clp:bx:010
https://www.tatacliq.com/,https://www.tatacliq.com/men-sandals-floaters/c-msh1311127
https://www.tatacliq.com/,https://www.tatacliq.com/men-boots/c-msh1311114
https://www.tatacliq.com/,https://www.tatacliq.com/men-sports-shoes/c-msh1311128
https://www.tatacliq.com/,https://www.tatacliq.com/sparx/c-mbh13f00116
https://www.tatacliq.com/,https://www.tatacliq.com/men-formal/c-msh1311112
https://www.tatacliq.com/,https://www.tatacliq.com/gia/c-mbh11a00187/page-1
https://www.tatacliq.com/,https://www.tatacliq.com/guess-analog-rose-gold-dial-womens-watch-gw0302l3/p-mp000000019270291
https://www.tatacliq.com/,https://www.tatacliq.com/my-account/cliq-care
https://www.tatacliq.com/,https://www.tatacliq.com/jewellery-gold-rings/c-msh2012111
https://www.tatacliq.com/,https://www.tatacliq.com/accessories-mens-bags-luggage-trolley/c-msh1604007
https://www.tatacliq.com/,https://www.tatacliq.com/womens-clothing-ethnic-wear-kurtis-kurtas/c-msh1012100
https://www.tatacliq.com/,https://www.tatacliq.com/campus/c-mbh13b10665/page-1
https://www.tatacliq.com/,https://www.tatacliq.com/casio-online/g-shock-watches-for-men
https://www.tatacliq.com/,https://www.tatacliq.com/search/page-1?q=ethnic+wear+-+shop+all+%3Arelevance%3Alist%3AlistId_ea75fe58ecdf4058898f36e03c8ab3d3%3AinStockFlag%3Atrue%3Abrand%3AMBH11A00006%3Abrand%3AMBH11A00367%3Abrand%3AMBH11B25800%3Abrand%3AMBH11A00002%3Abrand%3AMBH11B10519%3Abrand%3AMBH11B13459%3Adisplay-classification%3AKurta+Bottom+Dupatta+Set%3Adisplay-classification%3AKurta+Bottom+Set%3Adisplay-classification%3AKurta%3Adisplay-classification%3AKurtas%3Acolour%3APink_FFC0CB%3Acolour%3AYellow_FFFF00%3Acolour%3ALavender_a998cd%3Acolour%3ALilac_c8a2c8%3Acolour%3ACoral_FF7F50%3Acolour%3APeach_ffcba4%3Acolour%3ATurquoise_40E0D0%3Acolour%3AWhite_FFFFFF%3Acolour%3AMagenta_FF00FF%3Acolour%3AMauve_e9e3f4%3Aprice%3A%E2%82%B91%2C000-%E2%82%B93%2C000%3AdiscountFlag%3A50%25+-+70%25%3Apattern-classification%3AFloral%3Apattern-classification%3AEmbroidered%3Abrand%3AMBH11A00005%3Abrand%3AMBH11B11076%3Abrand%3AMBH11A00550&icid2=hero:hbr:main:hmp:m10:mulb:best:01:R2:clp:bx:010
https://www.tatacliq.com/,https://www.tatacliq.com/fossil-fs5437-townsman-analog-watch-for-men/p-mp000000003322870
https://www.tatacliq.com/,https://www.tatacliq.com/accessories-women-bags-sling-bags/c-msh1600000
https://www.tatacliq.com/,https://www.tatacliq.com/footwear-women-sneakers/c-msh1310115
https://www.tatacliq.com/,https://www.tatacliq.com/fossil-fs5551-the-minimalist-analog-watch-for-men/p-mp000000005807138
https://www.tatacliq.com/,https://www.tatacliq.com/returns-faq
https://www.tatacliq.com/,https://www.tatacliq.com/men-sneakers/c-msh1311115
https://www.tatacliq.com/,https://www.tatacliq.com/accessories/c-msh16
https://www.tatacliq.com/,https://www.tatacliq.com/womens-clothing-western-wear-jumpsuits/c-msh1016108
https://www.tatacliq.com/,https://www.tatacliq.com/footwear-women-boots/c-msh1310114
https://www.tatacliq.com/,https://www.tatacliq.com/vark/c-mbh11a00269/page-1
https://www.tatacliq.com/,https://www.tatacliq.com/woodland/c-mbh13f00086
https://www.tatacliq.com/,https://www.tatacliq.com/fabindia/c-mbh11a00198
https://www.tatacliq.com/,https://www.tatacliq.com/cancellation-faq
https://www.tatacliq.com/,https://www.tatacliq.com/reebok-mens-club-c-85-black-casual-sneakers/p-mp000000022820195
https://www.tatacliq.com/,https://www.tatacliq.com/offers-promotion-faq
https://www.tatacliq.com/,https://www.tatacliq.com/skechers/c-mbh13f00073
https://www.tatacliq.com/,https://www.tatacliq.com/returns-policy
https://www.tatacliq.com/,https://www.tatacliq.com/men-casual/c-msh1311113
https://www.tatacliq.com/,https://www.tatacliq.com/men-sports-shoes-running/c-msh1311128100
https://www.tatacliq.com/,https://www.tatacliq.com/shopping-faq
https://www.westside.com/,https://www.westside.com/collections/view-all-lingerie
https://www.westside.com/,https://www.westside.com/
https://www.westside.com/,https://www.westside.com/collections/woman
https://www.westside.com/,https://www.westside.com/collections/kids-boys-underwear
https://www.westside.com/,https://www.westside.com/collections/home-kitchen-table-linen
https://www.westside.com/,https://www.westside.com/collections/sale-kids
https://www.westside.com/,https://www.westside.com/collections/accessories
https://www.westside.com/,https://www.westside.com/collections/joggers-shorts-for-men
https://www.westside.com/,https://www.westside.com/collections/baby-boy-jeans
